Entity;Year;Retail;Out;Households;Total
Afghanistan;2019;16;28;82;126
Afghanistan;2022;10;33;127;169
Africa (UN);2019;15;27;110;153
Africa (UN);2022;10;31;100;141
Algeria;2019;16;28;92;136
Algeria;2022;10;31;113;153
American Samoa;2019;18;32;89;139
American Samoa;2022;12;19;74;104
Andorra;2019;13;26;85;124
Andorra;2022;11;20;83;113
Angola;2019;15;27;98;141
Angola;2022;10;31;89;130
Anguilla;2022;18;29;119;166
Antigua and Barbuda;2019;14;27;78;118
Antigua and Barbuda;2022;15;41;85;140
Argentina;2019;3;28;73;103
Argentina;2022;3;48;91;142
Armenia;2019;16;29;98;143
Armenia;2022;32;29;102;163
Aruba;2019;13;26;74;112
Aruba;2022;16;44;91;151
Asia (UN);2019;16;32;66;114
Asia (UN);2022;20;37;73;129
Australia;2019;9;22;101;132
Australia;2022;21;58;98;177
Austria;2019;9;29;39;77
Austria;2020;10;23;83;115
Austria;2021;10;20;83;113
Austria;2022;9;23;83;115
Azerbaijan;2019;15;27;91;134
Azerbaijan;2022;32;29;102;163
Bahamas;2019;12;25;71;108
Bahamas;2022;15;43;88;146
Bahrain;2019;14;28;145;187
Bahrain;2022;28;24;132;183
Bangladesh;2019;15;3;64;83
Bangladesh;2022;10;33;82;125
Barbados;2019;13;26;76;115
Barbados;2022;15;42;88;145
Belarus;2019;15;27;67;109
Belarus;2022;14;17;71;102
Belgium;2019;10;20;50;80
Belgium;2020;6;8;71;85
Belgium;2021;6;8;70;84
Belgium;2022;6;8;71;85
Belize;2019;16;28;53;96
Belize;2022;19;48;53;121
Benin;2019;15;27;96;137
Benin;2022;10;31;89;130
Bermuda;2019;13;25;72;110
Bermuda;2022;16;46;74;135
Bhutan;2019;16;28;78;121
Bhutan;2022;10;32;19;61
Bolivia;2019;15;27;78;121
Bolivia;2022;13;48;90;151
Bonaire Sint Eustatius and Saba;2022;16;25;105;146
Bosnia and Herzegovina;2019;15;27;81;124
Bosnia and Herzegovina;2022;15;25;86;125
Botswana;2019;14;26;85;125
Botswana;2022;15;31;50;97
Brazil;2019;16;28;59;103
Brazil;2022;3;48;94;145
British Virgin Islands;2019;13;25;73;110
British Virgin Islands;2022;14;41;84;140
Brunei;2019;13;25;79;117
Brunei;2022;46;35;76;157
Bulgaria;2019;16;27;68;111
Bulgaria;2020;7;18;55;79
